year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2018,Russia,Samara,Group H,Senegal,Colombia,0,1,A,,Colombia,Senegal,28-06-2018,Jun,Thursday
2018,Russia,Saransk,Group G,Panama,Tunisia,1,2,A,,Tunisia,Panama,28-06-2018,Jun,Thursday
2018,Russia,Kaliningrad,Group G,England,Belgium,0,1,A,,Belgium,England,28-06-2018,Jun,Thursday
2018,Russia,Kazan,Round of 16,France,Argentina,4,3,H,,France,Argentina,30-06-2018,Jun,Saturday
2018,Russia,Sochi,Round of 16,Uruguay,Portugal,2,1,H,,Uruguay,Portugal,30-06-2018,Jun,Saturday
2018,Russia,Moscow,Round of 16,Russia,Spain,1,1,H,Russia won in penalties (4 - 3),Russia,Spain,01-07-2018,Jul,Sunday
2018,Russia,Nizhny Novgorod,Round of 16,Croatia,Denmark,1,1,H,Croatia won in penalties (3- 2),Croatia,Denmark,01-07-2018,Jul,Sunday
2018,Russia,Samara,Round of 16,Brazil,Mexico,2,0,H,,Brazil,Mexico,02-07-2018,Jul,Monday
2018,Russia,Rostov-on-Don,Round of 16,Belgium,Japan,3,2,H,,Belgium,Japan,02-07-2018,Jul,Monday
2018,Russia,Saint Petersburg,Round of 16,Sweden,Switzerland,1,0,H,,Sweden,Switzerland,03-07-2018,Jul,Tuesday
2018,Russia,Moscow,Round of 16,Colombia,England,1,1,A,England won in penalties (4 -3),England,Columbia,03-07-2018,Jul,Tuesday
2018,Russia,Nizhny Novgorod,Quarterfinals,Uruguay,France,0,2,A,,France,Uruguay,06-07-2018,Jul,Friday
2018,Russia,Kazan,Quarterfinals,Brazil,Belgium,1,2,A,,Belgium,Brazil,06-07-2018,Jul,Friday
2018,Russia,Samara,Quarterfinals,Sweden,England,0,2,A,,England,Sweden,07-07-2018,Jul,Saturday
2018,Russia,Sochi,Quarterfinals,Russia,Croatia,2,2,A,Croatia won in penalties (4 - 3),Croatia,Russia,07-07-2018,Jul,Saturday
2018,Russia,Saint Petersburg,Semifinals,France,Belgium,1,0,H,,France,Belgium,10-07-2018,Jul,Tuesday
2018,Russia,Moscow,Semifinals,Croatia,England,2,1,H,Croatia won in AET,Croatia,England,11-07-2018,Jul,Wednesday
2018,Russia,Saint Petersburg,Third place,Belgium,England,2,0,H,,Belgium,England,14-07-2018,Jul,Saturday
2018,Russia,Moscow,Final,France,Croatia,4,2,H,,France,Croatia,15-07-2018,Jul,Sunday
2022,Qatar,Al Khor,Group A,QATAR,ECUADOR,0,2,A,,Ecuador,Qatar,20-11-2022,Nov,Sunday
2022,Qatar,Al Rayyan,Group B,ENGLAND,IRAN,6,2,H,,England,Iran,21-11-2022,Nov,Monday
2022,Qatar,Doha,Group A,SENEGAL,NETHERLANDS,0,2,A,,NETHERLANDS,SENEGAL,21-11-2022,Nov,Monday
2022,Qatar,Al Rayyan,Group B,UNITED STATES,WALES,1,1,A,,NA,NA,22-11-2022,Nov,Tuesday
2022,Qatar,Lusail,Group C,Argentina,SAUDI ARABIA,1,2,A,,SAUDI ARABIA,Argentina,22-11-2022,Nov,Tuesday
2022,Qatar,Al Rayyan,Group D,DENMARK,TUNISIA,0,0,A,,NA,NA,22-11-2022,Nov,Tuesday
2022,Qatar,Doha,Group C,MEXICO,POLAND,0,0,A,,NA,NA,22-11-2022,Nov,Tuesday
2022,Qatar,Al Wakrah,Group D,France,AUSTRALIA,4,1,H,,France,AUSTRALIA,23-11-2022,Nov,Wednesday
2022,Qatar,Al Khor,Group F,MOROCCO,CROATIA,0,0,A,,NA,NA,23-11-2022,Nov,Wednesday
2022,Qatar,Al Rayyan,Group E,GERMANY,JAPAN,1,2,A,,JAPAN,GERMANY,23-11-2022,Nov,Wednesday
2022,Qatar,Doha,Group E,SPAIN,COSTA RICA,7,0,H,,SPAIN,COSTA RICA,23-11-2022,Nov,Wednesday
2022,Qatar,Al Rayyan,Group F,BELGIUM,CANADA,1,0,H,,BELGIUM,CANADA,24-11-2022,Nov,Thursday
2022,Qatar,Al Wakrah,Group G,SWITZERLAND,CAMEROON,1,0,H,,SWITZERLAND,CAMEROON,24-11-2022,Nov,Thursday
2022,Qatar,Al Rayyan,Group H,URUGUAY,KOREA REPUBLIC,0,0,A,,NA,NA,24-11-2022,Nov,Thursday
2022,Qatar,Doha,Group H,PORTUGAL,GHANA,3,2,H,,PORTUGAL,GHANA,24-11-2022,Nov,Thursday
2022,Qatar,Lusail,Group G,BRAZIL,SERBIA,2,0,H,,BRAZIL,SERBIA,25-11-2022,Nov,Friday
2022,Qatar,Al Rayyan,Group B,WALES,IRAN,0,2,A,,IRAN,WALES,25-11-2022,Nov,Friday
2022,Qatar,Doha,Group A,QATAR,SENEGAL,1,3,A,,SENEGAL,QATAR,25-11-2022,Nov,Friday
2022,Qatar,Al Rayyan,Group A,NETHERLANDS,ECUADOR,1,1,A,,NA,NA,25-11-2022,Nov,Friday
2022,Qatar,Al Khor,Group B,ENGLAND,UNITED STATES,0,0,A,,NA,NA,26-11-2022,Nov,Saturday
2022,Qatar,Al Wakrah,Group D,TUNISIA,AUSTRALIA,0,1,A,,AUSTRALIA,TUNISIA,26-11-2022,Nov,Saturday
2022,Qatar,Al Rayyan,Group C,POLAND,SAUDI ARABIA,2,0,H,,POLAND,SAUDI ARABIA,26-11-2022,Nov,Saturday
2022,Qatar,Doha,Group D,France,DENMARK,2,1,H,,France,DENMARK,26-11-2022,Nov,Saturday
2022,Qatar,Lusail,Group C,Argentina,MEXICO,2,0,H,,Argentina,MEXICO,27-11-2022,Nov,Sunday
2022,Qatar,Al Rayyan,Group E,JAPAN,COSTA RICA,0,1,A,,COSTA RICA,JAPAN,27-11-2022,Nov,Sunday
2022,Qatar,Doha,Group F,BELGIUM,MOROCCO,0,2,A,,MOROCCO,BELGIUM,27-11-2022,Nov,Sunday
2022,Qatar,Al Rayyan,Group F,CROATIA,CANADA,4,1,H,,CROATIA,CANADA,27-11-2022,Nov,Sunday
2022,Qatar,Al Khor,Group E,SPAIN,GERMANY,1,1,A,,NA,NA,28-11-2022,Nov,Monday
2022,Qatar,Al Wakrah,Group G,CAMEROON,SERBIA,3,3,A,,NA,NA,28-11-2022,Nov,Monday
